,Cost ($),Emission (kg CO2)
0,414180.6525388368,4251747.467020927
1,412429.93067110307,4291076.632219595
2,410514.1985794376,4334029.3153795935
3,408598.4664877723,4376981.998539595
4,406682.7343961069,4419934.6816995945
5,404767.0023044415,4462887.364859595
6,402851.27021277614,4505840.0480195945
7,400935.53812111076,4548792.731179595
8,399019.80602944543,4591745.4143395955
9,397091.60583931656,4634970.193285685
10,,
0,410461.44032336,4230267.447407177
1,408906.12523190764,4264347.118188141
2,407168.86130903824,4302379.03961314
3,405431.59738616884,4340410.961038141
4,403694.3334632995,4378442.8824631395
5,401957.06954043003,4416474.803888139
6,400219.8056175605,4454506.72531314
7,398482.54169469135,4492538.64673814
8,396745.27777182177,4530570.568163141
9,394999.17097344203,4568801.53674816
10,,
0,425186.657577474,4403852.262468998
1,423563.0017542926,4439506.9911915865
2,421779.41829602525,4478609.429146587
3,419995.83483775804,4517711.867101586
4,418212.25137949083,4556814.305056586
5,416428.66792122356,4595916.7430115845
6,414645.0844629564,4635019.180966586
7,412861.50100468914,4674121.618921586
8,411077.9175464219,4713224.056876587
9,409279.2662450372,4752630.675927969
10,,
0,404778.7934699771,4187452.9952685675
1,403112.94726809865,4224818.691667705
2,401266.70109252754,4266111.002237704
3,399420.4549169564,4307403.312807704
4,397574.20874138526,4348695.623377703
5,395727.96256581414,4389987.933947703
6,393881.7163902429,4431280.244517704
7,392035.4702146718,4472572.555087703
8,390189.2240391007,4513864.865657703
9,388328.59406438726,4555419.85315733
10,,
0,433146.91067375004,4473886.193923908
1,431503.49236280844,4510241.251828388
2,429689.67824100977,4550221.649103387
3,427875.86411921115,4590202.046378388
4,426062.0499974125,4630182.443653387
5,424248.2358756138,4670162.840928387
6,422434.42175381514,4710143.238203387
7,420620.60763201624,4750123.635478387
8,418806.7935102177,4790104.032753387
9,416975.30657298444,4830434.433198273
10,,
0,400125.02318451944,4097333.759669763
1,398475.4253554575,4134241.1622949215
2,396648.6788588087,4174954.1507049217
3,394821.93236216006,4215667.139114921
4,392995.1858655113,4256380.127524922
5,391168.4393688625,4297093.115934922
6,389341.6928722138,4337806.104344922
7,387514.94637556496,4378519.092754923
8,385688.1998789164,4419232.0811649235
9,383850.32901695714,4460211.53934978
10,,
0,434825.79337229586,4514401.497608384
1,433109.89540229365,4552908.060252091
2,431207.95720896457,4595387.645377092
3,429306.01901563554,4637867.230502091
4,427404.0808223064,4680346.815627092
